Customer ID,Support Tickets,Response Time (hours),Issue Resolution Time (days),Customer Satisfaction Score (NPS),Churn
01c6124b-7a1a-48c1-b9cc-8c1249922ad3,5,15,20,4,No
56c8c822-3ae4-42d0-ad35-44f4a5ebd240,6,36,19,7,Yes
9e00d11f-c031-4ca7-a998-833a7c49cd41,3,19,25,5,Yes
5dcfac59-01b9-4034-928c-e896c891359a,1,16,17,2,Yes
8ca7b8ed-f181-4ada-ba2f-7c20a3b37f73,7,43,13,5,Yes
ff22cd1c-7ca2-47f4-9e57-2cd9294220d0,0,6,29,0,No
dccf59e3-42a8-46fe-88aa-719e7c519e03,3,14,28,7,No
4da616b6-f6ba-48c4-9b1f-161c0e4c38b8,3,28,15,8,No
902aaddf-4c41-48ec-9d85-4565819fa44a,0,6,7,6,No
738d21eb-5f05-4be6-bac0-b85221461c49,7,19,10,7,Yes
ece81cbf-f1ad-4b3d-a296-41a6d6cb9292,5,6,16,8,No
e40df083-cee7-4406-b33a-4359679cce74,1,5,22,7,Yes
968e3640-49dd-4d23-820f-9492db5adace,3,66,1,9,No
873bd0f8-de75-402e-8f37-f4077aa10282,6,48,16,3,No
a2c1fdeb-859a-497c-9b62-76c46a5a103d,8,70,4,4,Yes
031ce76f-a117-46c6-9537-09322027e28f,6,14,10,1,Yes
ec720bb0-1500-425d-b3c7-308a30ce5f4c,1,45,1,0,No
7d36de42-42eb-4900-bd65-759fb04691b4,0,40,19,7,No
3c6778ce-bcf6-4370-801c-a07f42e2b88b,9,30,12,6,No
2787fbc0-c40e-437f-a44e-c47951be893f,6,22,1,7,No
cab41f97-b232-4bc7-a7cb-c2bcc1f6af33,8,3,18,9,Yes
61b4d3f3-1137-4398-9b72-b30cb0ddea05,1,29,17,8,No
fe49e6cb-4131-4161-a693-ecbf852de98b,2,48,27,7,Yes
c6f2ef33-b0e2-4feb-9334-1298c2b6a862,3,8,29,4,No
8ce29393-7f2c-4a92-b917-6b1f4a80dbe5,8,49,5,6,Yes
4313eba9-c213-4e1f-9a13-6e554ba241de,6,7,22,4,Yes
956f3c14-60e4-4d90-82df-20b05d1efcc3,1,24,28,0,No
bcdea40b-daf2-4d50-8611-922237c46ec9,3,5,18,2,No
3714e1ea-8836-451c-b57d-83424f6dc730,3,64,3,0,No
34760937-29c5-4757-a280-532d83101986,3,5,18,8,No
d96373b4-c2ee-44f6-9551-bf984d907b25,9,49,23,3,Yes
cd6870b5-e1a7-4610-8cfe-352e03d1daec,6,70,16,0,Yes
e5fee430-7450-4470-b5ea-28e69d4e6d67,5,15,12,9,Yes
57a74467-d0e8-4225-a2de-ea106bae80cd,1,59,11,0,No
e27d5661-7ab5-4e18-8c08-f2aa764b3589,9,21,17,0,No
a664a53e-1d8f-43bf-82e2-e0a1ab8cb647,1,9,7,6,Yes
8be7175d-0558-4b0b-aa2c-b0874673e7f2,2,47,5,8,Yes
89904dc7-ac7f-4a42-b45e-aa868bffa4aa,9,41,9,4,Yes
3b030987-15b3-434e-bf12-79a5641406b5,0,56,23,5,No
95bd7edd-5ad7-4e8c-833e-36fb61eaebf2,8,48,16,2,Yes
7f007570-7202-4eea-b605-a2690916dd38,6,62,1,0,No
2124c919-c9c8-4abb-a736-e1d0d2f355bc,6,31,18,9,No
d990d50f-e8f1-4309-8b28-8f822e0af58d,8,66,6,4,Yes
b0d3678a-a607-43bf-ab1f-507023c19253,6,16,16,7,Yes
b832fecd-6723-4ecf-ba1c-e16474050ffe,0,35,2,2,Yes
740576cf-a345-4484-9e27-1dde524ea9bf,3,49,14,5,Yes
002783af-b494-4278-a148-dbcf9deeabdb,8,31,4,4,No
c24ad75b-f38b-4472-93c8-f703ccfd18f1,5,54,15,2,Yes
63195a38-3611-437a-b72e-2872f008b648,7,23,17,2,No
9ca1cfe4-fc6a-4555-b833-5d04f0527ca0,2,17,24,8,No
b2e7e4fd-3e6e-4099-89b2-16ca30af3d03,5,14,25,2,Yes
f9d648bf-ecd3-4656-b50f-ed189ee4d197,3,48,9,8,No
199a00ef-23fc-4612-9d18-1b1ecc1326cc,7,48,14,3,No
fa0fd491-057d-4aef-a6e8-58d0ff17204d,2,6,13,5,Yes
f20eaf93-a07a-42a3-be78-00d48c2db9b6,4,23,24,8,Yes
8cede11d-67e5-4c12-963a-4d1dba96e4c4,1,48,11,1,No
d6cd23c3-eec4-4fd7-9c95-15140651fb67,6,49,29,6,No
2a7360f7-98c5-411d-aba2-e665199b83c2,8,61,25,0,Yes
2eb1027e-c033-4a06-978e-f382f26e7fdf,4,31,4,6,Yes
4edb4012-0833-41f9-aaa5-54d51766ff3e,8,5,3,4,Yes
8b4e86fc-bc74-4f23-9e4f-dfdb54c45957,1,67,6,9,No
585d5972-40df-4877-bc69-0f25149c5bbb,7,38,19,5,Yes
bc08d30a-cd2a-431e-b089-838392237a4d,2,28,17,8,No
65caf228-83dd-4bb4-a743-c027e87eefaa,9,31,28,2,No
7c066f6a-a3a1-4d48-85e5-7f851ac93364,4,58,16,6,No
4e99c4a2-4dca-4ba0-92cc-bf3d814cf10a,2,54,5,3,Yes
83cddeea-115e-4d0b-9160-f5eba32ea741,4,17,10,0,No
8eebb428-0c5f-40a3-a3fe-d953ae3db93b,4,22,29,5,No
59e64f1d-31e1-4063-989f-fe41a7fc9dbc,0,64,27,3,Yes
1a312d87-4418-487d-b52c-ca2d1c714514,7,13,4,0,Yes
6f304639-29cc-47d5-b908-dee85805b5be,6,44,25,4,Yes
3c19f9b0-00e0-4134-8bda-b9817e196c4b,7,47,21,0,No
8691a0e1-e920-4c4e-828c-2866c51ce309,2,6,16,0,Yes
f3015b14-0d63-4443-b14e-b55cccd59f9a,6,10,11,4,No
07f8a204-ea0d-4b6a-83d7-ad73564b8c51,6,58,2,3,Yes
6441ac68-41ff-400f-9549-f43aab3215c2,1,40,17,9,No
fa80bf8a-37fd-4f33-85a4-722e9243a97b,2,14,15,5,Yes
77284f4c-0ad8-4463-af02-7fa22feb5100,5,23,9,2,Yes
2f6e0c21-6f2e-4c65-926f-0f9d09580070,3,71,2,3,Yes
7518340d-ab5e-4a2c-8940-5c6424fa0700,3,15,7,2,No
16ae9a02-9e75-4b42-a6d6-d2ef792d09d7,0,5,13,1,Yes
cfd6e94b-b018-4e3d-8b1b-0a95d91ade03,7,41,6,3,No
3a18a83a-ab0c-4ae5-9d2d-d17c411b1c96,1,20,27,1,Yes
73a6d83b-721e-4ca3-b9b2-d33f7a6586e8,5,52,21,9,Yes
1822c2da-92ab-40c1-8946-9a1184a6306e,9,10,2,0,No
5930e82a-b896-42d0-b010-df28e927f337,9,27,28,4,Yes
b290fe1d-837d-4035-ba1d-620c36daaf84,0,51,8,5,No
6f4cb069-1941-4f4f-ad8b-eed2e3728317,0,60,22,4,Yes
170f3142-ed80-477f-a62c-c5e27205cd76,9,6,8,9,Yes
ef904fec-c2a5-461f-b659-02f7a88ae306,1,28,20,3,Yes
0d73d7de-ab91-490a-bc0c-7997195ff40b,5,16,26,5,Yes
429b91ac-3212-442a-9903-17926f0749d2,3,17,6,0,Yes
b2ae0f08-7f22-4cf5-b9e1-2b792e7762a2,7,46,9,1,No
5ea73d7f-be72-4cc0-9bc7-ff35c7446542,6,10,19,6,Yes
4f3a5ba7-95e6-45c3-a4c4-0776c24ac14a,3,31,11,5,Yes
9944753e-e0e7-4cef-93ce-8c941587b887,3,59,25,1,No
36a604ac-b9f0-4538-9911-62b52204c1dc,4,39,22,9,Yes
b8cd80e1-9fa8-4337-b49c-3a753b2bd752,6,6,28,4,No
6f65cd01-2b55-490a-ad3c-be8334e82067,9,49,17,5,No
30ed89ae-6a72-4a22-8507-261ab6d0954f,8,21,4,6,Yes
2f99b1a5-1ded-42b7-bf6d-df2c59f94a1c,4,16,21,7,No
c3d7f15b-75f9-4010-968d-680557f8e87f,2,25,2,4,Yes
ab081cba-2925-476d-ab2c-4c467d74eb13,8,39,7,1,No
0e46f9f6-3744-4e96-a672-fb96c76fd4ee,0,36,20,0,Yes
7cd40a9d-e4ad-460e-8405-a6f75c6786a3,1,34,25,5,Yes
37ff0983-c965-42a4-b5e8-32a3e7669ab3,3,14,10,5,Yes
512d6412-6c93-4220-9f40-1d6547913cd3,5,57,4,9,No
7f39fb13-a263-4c61-9fc8-df39f084ce92,2,49,25,6,No
e6ceff8a-9883-4b48-b22a-685bc918cceb,9,60,21,0,No
7e629a30-2e54-4e15-8eb0-d50e46b762e8,2,33,6,6,Yes
5f656fa7-b00f-4be4-85a5-f3cef007db4f,8,34,9,3,No
d6c159bf-8e54-4cdb-9bc5-e24f925ef7f8,2,32,13,1,No
455e02ab-9873-43d6-952a-5151449d00ae,4,55,26,9,No
ba6cc936-2d31-4ae0-ac5f-b63f70e7fe1b,2,29,23,8,No
ab0d427d-72ff-43ae-8b62-501152bdd867,0,27,13,7,No
2d9c8c67-6583-4983-a7b8-f149e6c71098,4,71,4,9,Yes
b78a83ec-5b8f-4c68-867b-781559f53032,4,71,29,2,No
168d5013-3d46-48a5-876d-b8ab5ed8a67b,2,14,9,0,Yes
87ad39ed-dc3d-4213-8b4d-d0d9336e889d,8,2,20,4,No
045a742b-b059-41c5-8066-3ff5c7e133bb,9,7,21,7,No
8c53d715-f817-494b-b021-c3b1934ffc3c,3,33,9,1,No
7e556d3b-d8e5-4420-b0c2-c040dcdd6552,2,22,8,7,Yes
35a00631-6fcf-4d01-9069-c84bb03a786d,4,14,26,8,Yes
94b89167-2027-4473-a557-d4174fa11c1c,6,54,6,5,Yes
7166d42b-8a3c-46fa-920e-09b65f81c90a,1,1,27,7,Yes
75f6aaf4-86d5-4347-94b7-3d0cce0cad4e,4,41,22,8,Yes
60c60ac6-4d1a-4b0b-8891-d17457147e39,2,8,23,7,No
2dd6cab7-909e-4b59-b67c-dda9ed12b9fd,8,29,14,9,Yes
4b681abf-7b4f-4ce0-88e9-a2f104dc9e19,7,45,17,4,Yes
130bbcb9-a228-4a61-b4eb-7754bfac8006,8,8,20,7,No
dbddd008-c331-49f1-ba95-aad85d08314c,5,6,8,8,Yes
5e28b8c7-ab60-47c7-a396-4ed6f1884d57,3,51,10,9,No
ad2a7a45-c70d-4630-83bf-22a40c620496,8,23,15,2,Yes
feb84a75-42db-46a4-83f8-e6d5ae47f0e4,3,60,26,6,Yes
68d31874-d133-4c82-9172-a38cc6dbe0e1,3,41,23,8,Yes
12fb1b25-548b-4aaf-8766-124c1c00a604,1,14,2,1,Yes
6ea5b42c-87a6-4a8b-893f-3635bc034ba8,0,27,23,5,No
62909a82-92c3-47a5-a845-844fe5731a51,9,67,21,6,Yes
