Customer ID,Churn Status,Date of Churn,Reason for Churn,Churn
448cb5e2-7139-4ab4-a0f8-c3349f4fc9ec,1,2024-04-04,Price,No
4c48d63f-b469-44e1-9895-d5b466cca417,0,2024-08-22,Unknown,No
a1157d42-ed83-4c41-89f6-0f0e1cce1c22,0,2024-07-21,Unknown,Yes
e5e3b441-d786-4a20-87a4-b8bacb8aa42e,0,2024-06-10,Service,Yes
1d34a31a-fd5e-497a-aaa7-9ad6e445bcb7,0,2024-12-24,Product,Yes
0d241126-f19c-49b5-9c7d-3a67b981f384,1,2024-04-29,Unknown,No
d88d8db4-43a2-42b3-b228-382321b23ccd,0,2024-12-11,Service,Yes
02e92fc9-281f-4ac0-98cb-be6d7fe6325c,0,2024-09-26,Service,Yes
e80cf8ed-2ab6-40cf-ba5a-b657eb257344,0,2024-05-20,Price,No
596fd504-831b-4219-906f-92dc508b70d6,0,2024-10-07,Price,No
eba9c9ce-84f6-4eeb-8e94-f9650310b456,0,2024-10-13,Product,No
219ea5bf-c734-4aae-b03b-b6c8521ad44c,0,2024-04-20,Price,Yes
a0b5a539-e5e8-4ca2-872e-286f3d65ead5,1,2024-06-22,Service,Yes
b1d0be59-e60d-4eda-bc44-57401c7ed3e0,0,2025-02-15,Service,Yes
d1d2ce52-7aa1-4d9b-b9d1-f85f3fd01024,0,2024-12-21,Service,No
3cec3f84-59ba-40da-a1de-4312d7797bd3,0,2024-05-23,Unknown,No
4a8b8ca6-45f2-4884-9751-a92eed212022,1,2024-12-13,Unknown,No
e9440756-001d-4e75-8865-23dfc13953f9,0,2024-06-05,Price,Yes
9dbcca1c-1915-4fa8-822b-aafd75d3ad68,1,2024-03-01,Product,No
e190c8d2-70d0-455c-9e20-485314a8e2c1,0,2024-07-06,Service,No
cbea5a0a-68bd-40e8-9019-e13fd4a297dd,0,2024-11-28,Product,No
6c502320-9f7a-44f3-bb9f-ccb1cde44ba0,0,2024-11-28,Product,Yes
d1c109ed-0bb3-4231-8ff9-460f90346695,0,2024-05-29,Service,No
492e56ef-5eca-4f0a-aab7-77e285d7f731,0,2025-02-17,Service,Yes
66cddfe3-6c0f-418e-81e0-c432ffaebd43,0,2024-05-05,Product,Yes
2da573b3-b9c5-427f-805d-25b590d22d6a,0,2025-02-08,Service,Yes
2692352f-91d7-4fed-aac6-3bb08d30f87e,0,2024-10-03,Product,Yes
af2009b6-0f3a-452c-af11-a266205b5468,0,2024-10-09,Product,No
b9f4813f-cf01-4654-b3b3-d9dd2b1e26ab,1,2025-02-04,Price,Yes
b2b399ff-c713-4cc5-82d2-4201b09dedfe,0,2024-09-07,Product,Yes
75f8fbae-301b-44fe-a756-355830d94541,0,2024-11-16,Unknown,Yes
ab9df265-74b8-4171-ba83-244ad206c213,0,2024-03-17,Service,Yes
cbb9011d-e169-41f7-8cda-2721ed22e220,1,2024-08-19,Service,Yes
e3c0e906-ed13-4762-8919-1eeacb41445d,0,2024-03-20,Service,No
8b6421a5-c852-4d20-a347-22c571836f37,1,2024-07-27,Product,No
abe8cf85-d715-48ab-82c2-38c038cb7de7,1,2024-10-15,Service,Yes
45642c24-2e5a-43f7-abdf-b9151f81d9b8,0,2024-05-26,Price,No
13b3bd53-73f7-4855-a38b-dab390323ecf,0,2024-07-24,Service,Yes
b98592bb-83eb-4911-97c7-fafa6bece333,1,2024-08-16,Service,Yes
a0287704-d909-4744-986a-a2e40b5eaa92,0,2024-08-04,Product,Yes
e6c3b584-4d2b-4017-b5d6-a008b5dfbb6c,1,2024-04-11,Service,Yes
e89f754b-89db-4d73-94b7-9a1b1ef6a31d,1,2024-08-25,Price,No
20195cd7-7cf4-4a09-828b-2aba20bbbcd0,0,2025-02-25,Product,Yes
d6736136-9398-47a6-8942-e32e0c8571a9,0,2025-01-04,Product,Yes
abe61df7-00cf-44eb-afeb-58e8034bcdfe,0,2024-04-16,Unknown,Yes
f7c9f4d8-ef1a-4cb3-8ef6-40b618f14caa,0,2024-03-12,Product,No
d69eea6d-5eb0-4090-9f18-7401c98ba53b,1,2024-06-26,Unknown,No
0b7de11c-a00b-4ff1-b1b0-d73fd434bcdb,0,2024-05-13,Service,Yes
a2024573-575d-4913-a7ff-0cb9df936437,0,2024-03-09,Service,Yes
653a7b08-815c-4b0d-a9f1-c4e50f1553ed,0,2024-07-16,Unknown,Yes
9f01439e-4839-4299-a03a-26342b7b5d5e,0,2024-04-29,Product,Yes
3722a644-427c-48c9-89cd-58b8de37abeb,1,2024-07-12,Price,Yes
4f6b7471-784f-44e5-9023-a8d1ff92b772,0,2024-04-13,Price,No
ddb3d9b5-336c-410c-b95f-500a64a77e7d,0,2024-07-31,Price,Yes
ef2d8900-d4bd-46c5-a10c-f5bece9a0bfa,0,2024-06-04,Service,Yes
0579966e-b9ee-4462-94e5-48e0fd805c24,1,2024-06-25,Unknown,Yes
fff549f4-61d7-403a-a58f-35a31da75213,1,2024-07-19,Product,No
