CustomerID,TransactionDate,Amount,SubscriptionType,PaymentMethod,Churn
1,2024-10-08,146,Enterprise,Debit Card,0
2,2025-01-21,438,Premium,PayPal,1
3,2024-11-20,99,Basic,Credit Card,0
4,2024-09-27,58,Enterprise,Debit Card,1
5,2025-02-24,376,Enterprise,Debit Card,0
6,2024-12-08,267,Premium,PayPal,1
7,2025-02-04,15,Premium,Credit Card,1
8,2024-08-06,38,Premium,Debit Card,1
9,2024-11-08,419,Premium,Credit Card,1
10,2024-07-14,165,Enterprise,Credit Card,0
11,2024-08-11,272,Enterprise,Credit Card,1
12,2025-01-30,43,Enterprise,Credit Card,1
13,2024-05-12,449,Premium,PayPal,1
14,2024-10-26,246,Enterprise,Debit Card,0
15,2024-04-09,147,Basic,Credit Card,1
16,2025-02-08,377,Basic,Debit Card,0
17,2024-04-14,498,Enterprise,Debit Card,1
18,2024-07-12,497,Premium,Debit Card,1
19,2024-12-22,66,Basic,PayPal,1
20,2024-03-29,184,Enterprise,Credit Card,1
21,2024-11-17,223,Basic,Credit Card,0
22,2024-03-25,36,Basic,Debit Card,1
23,2024-07-25,304,Basic,Debit Card,1
24,2024-07-08,415,Basic,PayPal,1
25,2024-09-02,128,Enterprise,PayPal,1
26,2024-06-27,156,Basic,Debit Card,1
27,2025-01-13,365,Enterprise,Credit Card,1
28,2024-04-14,274,Basic,PayPal,1
29,2025-01-23,412,Basic,Credit Card,1
30,2024-08-21,267,Basic,PayPal,0
31,2024-10-23,357,Enterprise,Credit Card,1
32,2024-05-10,198,Basic,Debit Card,1
33,2024-06-02,324,Basic,PayPal,1
34,2024-11-14,240,Premium,Debit Card,1
35,2024-06-19,479,Basic,PayPal,1
36,2024-12-28,207,Premium,Debit Card,0
37,2024-03-20,248,Enterprise,PayPal,1
38,2025-02-05,336,Basic,PayPal,1
39,2024-09-22,79,Basic,PayPal,0
40,2024-12-03,426,Premium,Credit Card,0
41,2024-07-13,261,Premium,Credit Card,1
42,2024-10-14,471,Basic,PayPal,1
43,2025-02-12,202,Enterprise,Debit Card,0
44,2024-09-02,34,Premium,Debit Card,1
45,2024-03-14,79,Basic,PayPal,1
46,2024-07-19,165,Premium,Credit Card,0
47,2025-02-02,155,Enterprise,Credit Card,1
48,2024-11-21,328,Premium,Credit Card,1
49,2024-11-17,228,Basic,Credit Card,0
50,2024-10-23,58,Premium,Debit Card,0
51,2025-02-05,388,Enterprise,PayPal,1
52,2024-09-09,389,Basic,PayPal,0
53,2024-04-23,203,Basic,PayPal,1
54,2024-12-14,49,Basic,Debit Card,1
55,2024-03-10,94,Basic,Credit Card,1
56,2024-06-17,352,Enterprise,Credit Card,1
57,2024-03-26,459,Basic,Debit Card,1
58,2024-04-21,345,Enterprise,Debit Card,0
59,2024-12-22,13,Enterprise,PayPal,1
60,2024-05-09,299,Premium,PayPal,1
61,2024-04-15,256,Premium,Debit Card,1
62,2025-02-22,14,Basic,Debit Card,1
63,2024-11-21,235,Basic,Debit Card,1
64,2025-01-06,159,Enterprise,Credit Card,1
65,2024-11-29,247,Premium,PayPal,1
66,2025-02-22,157,Basic,Debit Card,1
67,2024-04-25,112,Basic,Debit Card,1
68,2024-03-17,184,Enterprise,Credit Card,0
69,2024-02-28,470,Premium,Debit Card,1
70,2025-02-16,245,Basic,PayPal,1
71,2024-03-01,43,Basic,Credit Card,0
72,2024-06-26,181,Basic,Debit Card,1
73,2024-09-09,15,Basic,PayPal,1
74,2024-12-11,449,Basic,PayPal,0
75,2024-03-30,294,Basic,Credit Card,1
76,2024-06-23,234,Premium,PayPal,1
77,2024-08-25,62,Enterprise,Credit Card,1
78,2024-03-29,266,Enterprise,PayPal,1
79,2024-11-26,68,Enterprise,Debit Card,1
80,2024-10-12,441,Basic,Credit Card,0
81,2025-02-03,255,Enterprise,PayPal,1
82,2024-09-14,16,Premium,Credit Card,1
83,2024-07-31,223,Basic,PayPal,1
84,2024-02-28,425,Premium,Credit Card,1
85,2024-04-20,87,Basic,Debit Card,0
86,2024-04-21,198,Basic,Credit Card,1
87,2024-05-09,450,Enterprise,Credit Card,1
88,2024-09-04,316,Premium,Debit Card,0
89,2024-08-16,225,Enterprise,PayPal,1
90,2024-07-27,412,Basic,Debit Card,0
91,2024-11-04,292,Premium,Credit Card,0
92,2024-10-15,328,Premium,Debit Card,0
93,2025-01-01,453,Basic,Debit Card,1
94,2024-09-24,70,Enterprise,Credit Card,1
95,2025-02-20,70,Basic,Credit Card,0
96,2024-08-26,224,Premium,Debit Card,1
97,2024-11-03,391,Premium,Credit Card,0
98,2024-05-18,54,Premium,PayPal,1
99,2025-02-08,414,Basic,PayPal,0
100,2024-05-08,181,Premium,PayPal,1
101,2024-09-27,230,Premium,PayPal,1
102,2024-05-16,394,Enterprise,Debit Card,1
103,2024-03-14,104,Enterprise,Debit Card,0
104,2024-04-02,356,Premium,Debit Card,1
105,2024-09-21,53,Enterprise,Credit Card,1
106,2024-09-06,237,Basic,Debit Card,1
107,2024-04-26,71,Enterprise,Debit Card,1
108,2024-10-11,326,Enterprise,Credit Card,1
109,2025-02-16,228,Enterprise,Credit Card,0
110,2024-09-25,344,Enterprise,Credit Card,1
111,2025-01-06,98,Basic,PayPal,1
112,2024-12-27,121,Enterprise,Debit Card,1
113,2024-11-19,216,Premium,Debit Card,0
114,2024-12-08,497,Enterprise,Debit Card,0
115,2024-02-27,476,Enterprise,Credit Card,1
116,2024-07-07,376,Premium,Debit Card,1
117,2024-03-25,315,Basic,PayPal,1
118,2024-06-10,212,Premium,Debit Card,0
119,2024-07-03,306,Premium,Debit Card,0
120,2024-11-18,42,Premium,Credit Card,1
121,2024-05-09,498,Premium,PayPal,1
122,2024-08-23,224,Enterprise,Debit Card,1
123,2024-04-21,21,Enterprise,Credit Card,1
124,2024-04-14,11,Enterprise,PayPal,1
125,2024-05-08,372,Enterprise,PayPal,1
126,2024-12-13,158,Basic,Credit Card,0
127,2025-01-09,151,Enterprise,Credit Card,1
128,2024-07-03,299,Enterprise,Credit Card,1
129,2024-04-12,216,Basic,Credit Card,1
130,2024-09-09,350,Premium,Credit Card,0
131,2024-10-12,201,Enterprise,Credit Card,1
132,2025-01-02,416,Enterprise,Debit Card,1
133,2024-09-14,350,Premium,Credit Card,1
134,2024-05-12,315,Enterprise,Credit Card,1
135,2024-09-04,407,Premium,PayPal,1
136,2025-02-20,478,Premium,PayPal,1
137,2024-06-26,261,Premium,PayPal,1
138,2024-12-07,213,Enterprise,Credit Card,0
139,2024-06-10,371,Premium,Credit Card,1
140,2024-11-05,55,Enterprise,Debit Card,1
141,2024-09-04,383,Basic,Debit Card,1
142,2024-07-16,270,Premium,Debit Card,1
143,2024-10-30,75,Enterprise,Debit Card,1
144,2024-12-28,159,Premium,Credit Card,0
145,2024-07-18,79,Enterprise,PayPal,1
146,2024-10-18,373,Enterprise,Credit Card,0
147,2024-12-16,11,Basic,Credit Card,0
148,2025-02-23,38,Premium,Credit Card,1
149,2025-01-15,265,Enterprise,Credit Card,1
150,2025-01-28,70,Basic,PayPal,1
151,2024-04-22,109,Enterprise,PayPal,1
152,2024-03-13,393,Enterprise,Debit Card,0
153,2024-09-08,464,Basic,Credit Card,1
154,2025-01-25,153,Premium,Debit Card,0
155,2024-11-14,201,Basic,PayPal,0
156,2024-09-28,362,Premium,PayPal,0
157,2024-05-04,362,Enterprise,Debit Card,0
158,2024-12-14,279,Enterprise,PayPal,1
159,2024-09-07,308,Basic,PayPal,0
160,2024-05-24,469,Basic,Credit Card,1
161,2025-02-14,436,Basic,Credit Card,1
162,2024-07-05,335,Enterprise,PayPal,1
163,2024-11-09,320,Premium,PayPal,1
164,2025-01-13,213,Basic,Debit Card,1
165,2024-06-01,254,Premium,Debit Card,1
166,2025-02-24,40,Basic,PayPal,1
167,2024-06-10,341,Basic,Credit Card,1
168,2024-12-17,467,Basic,Credit Card,0
169,2024-03-27,433,Basic,Debit Card,1
170,2025-02-06,420,Enterprise,Credit Card,1
171,2024-07-13,61,Enterprise,Credit Card,0
172,2024-12-20,393,Basic,Debit Card,1
173,2024-10-11,252,Enterprise,Debit Card,1
174,2024-11-26,272,Enterprise,Credit Card,1
175,2025-01-08,183,Enterprise,Debit Card,0
176,2024-09-23,109,Enterprise,PayPal,1
177,2025-01-26,426,Premium,Debit Card,1
178,2024-10-04,484,Premium,PayPal,1
179,2024-08-16,401,Enterprise,PayPal,1
180,2024-11-04,398,Premium,PayPal,1
181,2024-12-04,70,Basic,Debit Card,0
182,2024-12-18,465,Premium,Debit Card,1
183,2024-07-12,369,Basic,Debit Card,1
184,2024-08-22,197,Premium,PayPal,1
185,2024-05-21,478,Premium,Debit Card,0
186,2025-01-25,417,Basic,Credit Card,1
187,2025-01-12,16,Basic,Credit Card,1
188,2024-05-27,198,Enterprise,Debit Card,1
189,2024-06-21,92,Premium,PayPal,0
190,2024-10-23,360,Basic,Debit Card,1
191,2024-04-18,429,Enterprise,Credit Card,1
192,2024-09-28,292,Basic,PayPal,1
193,2024-03-24,133,Enterprise,Debit Card,1
194,2024-03-25,166,Enterprise,Debit Card,1
195,2024-03-30,96,Basic,PayPal,1
196,2024-07-25,157,Basic,PayPal,0
197,2024-09-24,79,Premium,Credit Card,0
198,2024-07-03,469,Premium,Debit Card,1
199,2024-03-09,379,Enterprise,Credit Card,1
200,2024-05-08,85,Basic,Credit Card,1
201,2024-10-01,123,Premium,PayPal,1
202,2024-05-26,12,Enterprise,Debit Card,0
203,2025-01-14,243,Premium,Credit Card,1
204,2024-08-16,176,Enterprise,Credit Card,1
205,2024-07-25,108,Premium,PayPal,1
206,2024-09-19,133,Basic,Debit Card,1
207,2024-08-18,476,Enterprise,Debit Card,1
208,2024-12-12,54,Enterprise,Credit Card,0
209,2024-03-03,391,Premium,PayPal,0
210,2024-06-16,333,Premium,Debit Card,1
211,2025-01-06,296,Premium,Debit Card,1
212,2025-01-12,115,Basic,Credit Card,1
213,2024-12-21,303,Premium,Debit Card,1
214,2024-12-15,490,Premium,Debit Card,0
215,2024-07-25,143,Basic,Debit Card,1
216,2024-11-18,17,Premium,Debit Card,1
217,2024-03-24,37,Basic,Credit Card,1
218,2024-09-04,280,Basic,Debit Card,1
219,2024-06-13,232,Premium,Debit Card,1
220,2024-05-07,17,Basic,PayPal,1
221,2024-10-05,319,Premium,Credit Card,0
222,2024-12-25,143,Basic,Debit Card,0
223,2024-05-29,38,Enterprise,PayPal,0
224,2024-05-26,124,Premium,Credit Card,1
225,2024-07-05,43,Enterprise,Debit Card,0
226,2024-07-22,16,Enterprise,PayPal,1
227,2025-02-25,49,Enterprise,Credit Card,1
228,2024-06-29,339,Enterprise,Debit Card,1
229,2024-06-22,406,Premium,PayPal,1
230,2024-09-03,71,Basic,Credit Card,0
231,2024-03-05,95,Premium,PayPal,1
232,2025-01-06,222,Premium,PayPal,1
233,2024-04-17,125,Basic,Debit Card,0
234,2024-07-11,74,Enterprise,PayPal,0
235,2024-07-03,306,Basic,Debit Card,0
236,2025-01-13,388,Enterprise,Debit Card,1
237,2024-09-18,179,Premium,PayPal,0
238,2024-04-03,125,Basic,PayPal,1
239,2025-02-15,331,Basic,PayPal,1
240,2024-07-25,125,Enterprise,PayPal,0
241,2024-08-22,230,Basic,Credit Card,1
242,2024-12-31,404,Premium,Debit Card,0
243,2024-03-21,366,Basic,PayPal,0
244,2024-12-19,59,Basic,Credit Card,0
245,2024-09-07,336,Premium,PayPal,1
246,2024-11-07,428,Enterprise,Credit Card,1
247,2024-05-23,487,Basic,Debit Card,0
248,2024-07-05,345,Enterprise,PayPal,0
249,2024-10-25,88,Basic,Credit Card,1
250,2024-10-20,497,Premium,Credit Card,1
251,2025-01-06,29,Enterprise,Debit Card,0
252,2024-05-01,421,Basic,PayPal,1
253,2024-07-31,388,Enterprise,PayPal,1
254,2024-11-20,46,Basic,Debit Card,0
255,2024-04-11,268,Premium,Debit Card,0
256,2024-06-16,102,Premium,Debit Card,0
257,2024-08-25,196,Basic,Credit Card,1
258,2024-04-03,366,Basic,Credit Card,0
259,2024-03-27,210,Enterprise,Debit Card,1
260,2024-07-29,420,Basic,PayPal,1
261,2024-07-01,297,Enterprise,Credit Card,1
262,2024-10-12,57,Basic,Debit Card,0
263,2024-04-04,262,Premium,Credit Card,1
264,2024-10-12,55,Enterprise,Credit Card,1
265,2024-12-25,379,Enterprise,Debit Card,1
266,2024-09-30,240,Premium,PayPal,1
267,2024-11-18,104,Enterprise,PayPal,1
268,2024-06-20,312,Premium,Credit Card,1
269,2024-09-06,227,Premium,PayPal,1
270,2025-01-07,49,Premium,PayPal,0
271,2024-11-26,396,Basic,Debit Card,1
272,2025-02-03,212,Premium,Debit Card,1
273,2024-03-09,125,Enterprise,Debit Card,1
274,2024-12-03,422,Basic,PayPal,1
275,2024-08-18,100,Premium,PayPal,1
276,2024-07-09,67,Premium,Debit Card,0
277,2024-08-16,443,Premium,PayPal,1
278,2024-10-04,19,Enterprise,Debit Card,0
279,2024-05-10,265,Basic,Credit Card,1
280,2025-02-14,326,Basic,Credit Card,0
281,2024-03-21,258,Basic,PayPal,1
282,2024-11-18,492,Enterprise,PayPal,1
283,2025-02-12,376,Premium,PayPal,0
284,2024-06-02,386,Basic,PayPal,0
285,2024-10-13,326,Premium,Credit Card,1
286,2024-08-14,416,Enterprise,Debit Card,0
287,2025-01-22,15,Basic,Credit Card,1
288,2024-11-18,340,Enterprise,Debit Card,1
289,2024-08-22,197,Basic,PayPal,1
290,2024-11-15,244,Basic,Debit Card,1
291,2024-04-12,380,Premium,Debit Card,1
292,2024-03-18,420,Enterprise,Debit Card,0
293,2024-04-12,192,Basic,Debit Card,1
294,2024-12-18,296,Basic,Credit Card,1
295,2025-01-16,132,Enterprise,PayPal,1
296,2024-09-28,167,Premium,PayPal,0
297,2024-08-06,332,Enterprise,Debit Card,1
298,2024-09-13,22,Basic,PayPal,0
299,2024-08-24,324,Enterprise,Credit Card,0
300,2024-04-06,63,Premium,Debit Card,1
301,2024-06-23,369,Premium,PayPal,0
302,2025-01-17,286,Premium,PayPal,1
303,2024-10-07,52,Premium,Debit Card,1
304,2024-08-22,276,Premium,Credit Card,0
305,2024-07-24,118,Premium,Debit Card,1
306,2024-06-14,332,Premium,Debit Card,1
307,2024-10-09,175,Basic,PayPal,0
308,2025-02-09,360,Enterprise,PayPal,1
309,2024-04-17,417,Premium,Debit Card,0
310,2024-11-09,115,Enterprise,Debit Card,1
311,2024-09-22,60,Enterprise,PayPal,1
312,2024-02-28,213,Basic,Debit Card,1
313,2024-03-13,454,Enterprise,Credit Card,1
314,2024-06-30,311,Enterprise,Debit Card,1
315,2024-02-27,52,Premium,Credit Card,0
316,2024-07-10,292,Premium,Debit Card,1
317,2024-12-12,94,Enterprise,Debit Card,0
318,2024-06-14,226,Premium,Debit Card,0
319,2024-11-29,167,Basic,PayPal,1
320,2024-12-21,359,Enterprise,PayPal,1
321,2024-09-18,136,Enterprise,PayPal,1
322,2024-03-07,200,Basic,PayPal,0
323,2025-01-08,275,Basic,PayPal,1
324,2024-10-20,396,Basic,PayPal,1
325,2024-05-28,470,Basic,Debit Card,1
326,2024-11-13,69,Enterprise,Credit Card,1
327,2024-09-12,292,Premium,PayPal,0
328,2024-03-17,475,Premium,PayPal,1
329,2024-06-21,388,Premium,Debit Card,1
330,2024-02-26,438,Premium,PayPal,1
331,2024-03-15,71,Basic,Debit Card,0
332,2024-04-06,417,Premium,PayPal,0
333,2024-04-09,311,Premium,Credit Card,1
334,2025-02-10,135,Enterprise,PayPal,0
335,2024-10-18,471,Enterprise,PayPal,0
336,2025-02-25,496,Premium,Debit Card,1
337,2025-01-14,181,Basic,PayPal,0
338,2024-03-10,72,Premium,Debit Card,0
339,2024-12-08,269,Basic,Credit Card,0
340,2025-02-23,25,Enterprise,PayPal,1
341,2024-09-14,188,Basic,Debit Card,0
342,2024-06-04,339,Premium,Credit Card,1
343,2024-03-10,377,Enterprise,Credit Card,1
344,2024-06-10,110,Premium,Debit Card,1
345,2024-08-10,484,Premium,Debit Card,0
346,2024-12-27,185,Basic,PayPal,1
347,2025-01-28,202,Premium,Credit Card,1
348,2024-07-24,462,Premium,Credit Card,0
349,2024-03-15,470,Enterprise,Debit Card,1
350,2024-05-29,310,Basic,Credit Card,0
351,2024-10-12,396,Basic,Debit Card,1
352,2024-03-23,282,Enterprise,PayPal,1
353,2024-03-24,476,Enterprise,Debit Card,1
354,2025-02-06,430,Basic,PayPal,1
355,2024-08-25,270,Enterprise,Debit Card,1
356,2024-04-15,184,Basic,PayPal,1
357,2024-10-26,243,Enterprise,Credit Card,1
358,2024-05-30,309,Basic,Debit Card,1
359,2024-06-02,225,Basic,Debit Card,1
360,2024-07-14,426,Enterprise,Debit Card,1
361,2024-12-15,256,Premium,PayPal,1
362,2024-06-21,30,Premium,Debit Card,1
363,2025-02-16,460,Enterprise,Debit Card,1
364,2024-10-09,333,Basic,Credit Card,0
365,2024-06-21,252,Enterprise,Debit Card,1
366,2024-12-12,297,Premium,Debit Card,1
367,2024-05-03,289,Basic,Debit Card,1
368,2024-03-28,253,Basic,Debit Card,0
369,2024-07-20,172,Basic,Credit Card,1
370,2024-11-27,155,Premium,Debit Card,1
