User ID,Session Duration (minutes),Page Views,Browsing Behavior,Clickstream Data,Churn
a7dfd80c-6469-4402-ae97-cb68c01cd27e,39,2,Casual,Soldier maybe well note three seven.,Yes
45596900-a07f-45aa-a97e-7f549eb459de,52,6,Exploratory,After call cell generation.,Yes
2cdd38f2-9d62-4a0d-ba84-a6fa144198fc,29,18,Focused,Painting agreement thing national people food.,Yes
4fd5e9b0-bc64-4cea-a1f2-fec92c8214bd,15,6,Casual,Practice arm girl.,No
6796d85f-bdf8-4898-bd6f-f7e605ce389f,43,13,Casual,Arrive radio activity health. Chance my my get.,Yes
dfae747c-b948-4d33-8764-e1f2074e1764,8,19,Casual,Arm capital interview fine.,Yes
8d62852c-2469-4176-90ef-687480f5763f,21,2,Exploratory,Religious discover world.,No
b0a3006a-0ca8-4bba-b2d8-2fa7fcde6ea0,39,12,Focused,While guy however standard information reason.,No
18900913-c206-42b6-89f2-76e0577eb116,58,15,Exploratory,Rock skin attention check director young.,No
dadffc13-fc2a-4a9d-8907-7bd3815d16a5,19,14,Casual,Company threat pull leave.,Yes
e7800e95-e51e-4929-9349-ecb3c945b99b,23,6,Exploratory,Field Congress rather pressure.,No
bf789dcc-d52d-471b-9861-0b2af9b87dea,11,18,Casual,Physical together out care.,Yes
9cb58e7c-260e-4e3a-ab06-76a29aa5c608,11,5,Casual,Share player above history seek base.,No
bd13438e-871a-4427-82c9-1f5f602ab70f,24,18,Exploratory,It with right claim describe majority name.,No
b9962ce6-9c79-4a53-8c16-47ad435cb649,53,3,Casual,Focus hair thus marriage TV.,No
2bf64b08-dcb1-4ea6-9385-b64d49b266ff,36,3,Casual,Option ahead company deep.,No
ad6040d7-488a-47d5-809d-425e48a26eec,40,10,Focused,Office middle himself attention radio.,Yes
b5a842a4-d786-4f5b-900f-b76d23f4cc76,24,19,Exploratory,Someone yet available between build garden not.,Yes
9da91386-97a6-40e3-a688-696fe74b6846,3,3,Exploratory,Election consider head voice anything argue.,Yes
58ec2186-6852-47ca-b3d5-eb26affc5d8a,22,12,Casual,Television where growth likely letter happen.,No
e1d1064a-796c-4158-89eb-05655ca9c9a7,53,16,Casual,Identify whom finish decision general.,Yes
e835f7a4-ddb3-4c01-9614-b1041c82e048,2,17,Exploratory,Full interest marriage.,No
8acb7f32-0d38-44c9-8ede-a1b06aba324b,24,7,Exploratory,Politics better together avoid may stop.,No
77329e7e-6408-44eb-ad32-f47056444b07,44,13,Exploratory,Us travel series morning.,Yes
f2e395ca-aec6-4439-8e08-817dcab42fb0,30,2,Casual,Avoid soldier call as perform effect.,No
5e4868f8-432a-402b-96df-e7e88121d717,38,4,Focused,Make president daughter ago decision.,No
5704d5e8-b92c-4734-9e2f-eac751884bdb,2,10,Focused,Development bad hear care policy suddenly.,Yes
3f659858-158e-4202-9d7b-f93cf87aec4a,21,7,Casual,Check billion mission child.,Yes
52d45c5c-cc6d-4d5a-a60a-a5b7fd743659,33,17,Casual,Model song wait join response our.,No
d55bb11c-6dd1-4d08-be67-65eea5be44ff,12,6,Casual,Step kitchen special while institution.,Yes
bce0a094-b5a6-4a9f-b328-b56795b4a9cf,58,19,Exploratory,Or keep son fire senior hold can.,No
e9edf16f-3b92-478a-98fc-a23820d63cb4,22,5,Casual,Natural somebody possible.,Yes
472f515c-be3d-470e-bf1e-b6122a191f1a,44,10,Exploratory,Certainly individual appear. Similar loss start.,No
bc5d2cf4-6bcb-4a3d-a0f0-6311b92ab32d,25,9,Focused,Common sure population child space.,No
550154f4-6a31-492f-b478-8459f2484747,49,13,Casual,Size yet outside next tax born.,No
6e25c945-7073-4e80-a0f2-46be5e5fa6e2,27,19,Casual,Reason west lawyer yes large.,Yes
6e07c942-db52-466a-84c1-444154a85b80,59,6,Exploratory,Energy allow reflect also.,Yes
3c729cfd-a03b-406f-9687-6fa2a8b8fa2f,42,4,Exploratory,Hear election activity image call.,No
ecde851e-738d-4726-8fd6-7659d8bd530c,28,3,Exploratory,Cost do law box indeed myself.,Yes
a88f5c9c-ee81-4176-9ef4-b4b6fb0cd7a6,16,3,Focused,Institution PM plant lot.,Yes
ac403ed8-1c23-473a-bdf3-bdbf82bb0800,15,4,Focused,Bad the image. Floor member experience radio.,Yes
7b33bee8-dedc-40fd-8a96-29d1598c782a,47,5,Casual,Collection assume top project despite need pick.,No
0017294d-0c1d-4f6d-8160-538c567f4201,51,8,Casual,Police word maintain decide.,Yes
a72a1cac-6e93-4472-8d20-17060af384ad,44,16,Exploratory,Represent skill cultural crime.,Yes
87443e2d-85d6-4c7b-967e-f82b3f543e54,55,3,Focused,Sell kind hundred education.,Yes
caefd6a0-de0b-425f-b2f6-f3f988423a97,52,12,Casual,Of piece by strong as still.,No
4bce36df-aa0c-48e7-bb51-5a565191a462,57,8,Exploratory,Car so employee.,No
6f1947af-559a-4ace-bb7a-fb010b1a5c5b,3,13,Exploratory,Through authority watch. Development type become.,No
3e97828e-c466-4049-acb3-2d724c6969cc,37,4,Focused,Show senior thing son give agent thing.,Yes
ce1c6566-0aaf-44cf-801c-582833e72a8d,51,14,Focused,Bit crime serve join easy feeling at pay.,No
12fbf0da-c6df-42fe-887a-af584cc176e7,7,14,Casual,Travel behind west wear.,Yes
00989edc-830a-4af6-a863-5fd4223c61e3,21,13,Casual,Something before any card law visit.,Yes
12b10f18-b8c2-4877-9dc7-46063c1c06e8,9,6,Exploratory,Environmental relate huge second their.,No
0b2f5c66-e345-4070-a49b-eeab5eb61e50,39,17,Exploratory,Top color Mr successful.,Yes
499c814d-7784-4062-9795-06ef8056fb21,18,4,Exploratory,Myself join whether.,No
d8fb5468-7db3-47b5-846f-11e8c9544ffe,4,8,Casual,Expect time always man middle structure good.,Yes
5cf24fcd-5aef-41e2-9045-6f0e1b89c560,25,17,Focused,Total from message wish box feeling yard study.,Yes
ab60725b-270c-4f41-97ab-27ea1e474a33,14,3,Casual,Second behavior drug national else.,Yes
f2224b82-6714-43e0-a1aa-c0a958528b96,50,17,Focused,Growth practice although professor.,Yes
33abcb74-689d-43e9-9d22-a28ce6a9db5d,58,9,Casual,Sell upon pass Republican fine.,Yes
2fab88ce-b840-4c66-86af-e8bde537c3b7,9,2,Casual,Call ago culture attention.,No
c7554ed1-8afd-4dff-b57e-dfd3e5ff769d,26,13,Focused,Spend material by hospital example teacher.,No
00f7ad96-dc37-4eab-86f7-b19006c77870,53,2,Casual,Least drug long itself everyone class.,No
4e773c1e-347a-43e5-bb6f-f78c77c1cc04,2,11,Casual,Job coach face current country garden.,No
cd9f1f92-9733-4a9d-87e3-4f41808ac7b8,20,15,Exploratory,Not participant hot.,Yes
04c938cc-cc6a-44f9-b641-3d57aeeea55a,28,11,Focused,Kid son social. Establish most civil.,Yes
4056ed94-ee6b-4f48-8d4c-8b47b7723b71,47,3,Focused,Control traditional before.,No
8934fe3d-fe38-4d03-a35a-ae144614a5eb,7,3,Exploratory,Line mind work just clearly.,No
d5ac91cd-32af-44e7-96be-ebe688d1bb95,44,12,Focused,Worker language again relate.,Yes
62eed7f3-0e66-4141-b749-6584bc4353c7,8,5,Exploratory,Wait view must maybe consumer interesting.,No
4cad445a-a0c0-41ad-b48f-1a614cbc1053,47,7,Focused,Model result fight sing through policy.,Yes
4baeae5f-36be-4660-af5e-b1d5b1ea20b9,35,7,Focused,Lawyer fast one others weight.,Yes
033ce34e-584c-4134-9eb5-d08d70db18d2,14,13,Focused,Pull analysis significant whom tend bill energy.,No
27716c92-2941-4fe0-a4ee-e59c2c284054,17,9,Focused,Series miss else good daughter clearly.,Yes
183eba0c-b058-47b1-9ca2-914862b14562,36,13,Exploratory,Goal authority security dark.,Yes
ebc9e1f4-6462-4cb8-aa38-10b31a68e9ed,50,12,Exploratory,Fire music everything sea.,No
8ea3b966-9564-430f-891d-83918d3afac9,40,13,Focused,Ago sport dinner edge often.,No
d20a32b5-4390-4412-b2ee-7093d9ead970,4,10,Casual,Himself nearly risk ever two rule.,Yes
c9f67271-3e4f-4eba-a4fc-e40e72faf73d,2,1,Exploratory,Success contain fire.,No
efeb1511-9945-4dd2-b4e9-d24f1d00cc2f,6,8,Focused,Provide gun remember while.,Yes
597fc9c8-753d-44fe-89d4-eca018f54ca1,54,16,Exploratory,Turn road south environmental house leader serve.,No
30be5193-2c02-4fb4-9058-4905002ce1d5,42,13,Casual,Scene again mission accept new.,Yes
c2bc8384-c300-4ebe-aea8-ceb0242ed414,4,3,Casual,Guy quality process compare arm rest situation.,Yes
83d49b71-ea25-447e-bece-89857e6fe776,54,3,Casual,Require loss describe large high answer table.,Yes
2c108c94-1d0d-4a02-8dbe-023502ded2b7,29,5,Focused,Source less its everybody. Sign film street.,Yes
5541593d-d396-4f46-9231-4f6fa6dc1860,18,11,Focused,Weight lot bag style simple. Rich alone alone.,Yes
64184510-793e-4d66-b66a-e35df59f7ad1,26,7,Casual,Cell agree risk. Worry dog ago skin ask hair.,Yes
0f6e4e3a-8933-4abf-a7c8-c5e95f19038b,44,10,Exploratory,Political heavy professional hair know why area.,Yes
6acc414f-6d19-4858-9a79-cea85ca26166,34,10,Exploratory,Help back leave executive alone bring.,Yes
20480359-b541-4cb8-898e-ed0cb000b0d1,10,2,Casual,Call necessary production car.,Yes
4b13011b-7df6-4789-8adb-1bd4cbdc0f15,36,3,Focused,Think make main city.,No
