Churn,Contract,CustomerID,Dependents,DeviceProtection,Gender,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,Tenure,TotalCharges
No,Month-to-month,1001,No,No,Female,DSL,29.85,No phone service,Yes,No,Yes,Yes,Electronic check,No,0,No,No,No,1,29.85
No,One year,1002,No,Yes,Male,DSL,56.95,No,No,Yes,No,No,Mailed check,Yes,0,No,No,No,34,1889.5
Yes,Month-to-month,1003,No,No,Male,DSL,53.85,No,Yes,Yes,Yes,No,Mailed check,Yes,0,No,No,No,2,108.15
No,One year,1004,No,Yes,Male,DSL,42.3,No phone service,No,Yes,No,No,Bank transfer (automatic),No,0,No,No,Yes,45,1840.75
Yes,Month-to-month,1005,No,No,Female,Fiber optic,70.7,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,2,151.65
Yes,Month-to-month,1006,No,Yes,Female,Fiber optic,99.65,Yes,No,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,8,820.5
No,Month-to-month,1007,Yes,No,Male,Fiber optic,89.1,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,0,No,Yes,No,22,1949.4
No,Month-to-month,1008,No,No,Female,DSL,29.75,No phone service,No,Yes,No,No,Mailed check,No,0,No,No,No,10,301.9
Yes,Month-to-month,1009,No,Yes,Female,Fiber optic,104.8,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,28,3046.05
No,One year,1010,Yes,No,Male,DSL,56.15,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,0,No,No,No,62,3487.95
No,Month-to-month,1011,Yes,No,Male,DSL,49.95,No,No,Yes,Yes,Yes,Mailed check,Yes,0,No,No,No,13,587.45
No,Two year,1012,No,No internet service,Male,No,18.95,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,16,326.8
No,One year,1013,No,Yes,Male,Fiber optic,100.35,Yes,No,No,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,58,5681.1
Yes,Month-to-month,1014,No,Yes,Male,Fiber optic,103.7,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,49,5036.3
No,Month-to-month,1015,No,Yes,Male,Fiber optic,105.5,No,No,Yes,Yes,No,Electronic check,Yes,0,Yes,Yes,Yes,25,2686.05
No,Two year,1016,Yes,Yes,Female,Fiber optic,113.25,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,69,7895.15
No,One year,1017,No,No internet service,Female,No,20.65,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,52,1022.95
No,Two year,1018,Yes,Yes,Male,Fiber optic,106.7,Yes,No,Yes,No,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,71,7382.25
Yes,Month-to-month,1019,Yes,Yes,Female,DSL,55.2,No,No,No,No,Yes,Credit card (automatic),Yes,0,No,No,Yes,10,528.35
No,Month-to-month,1020,No,Yes,Female,Fiber optic,90.05,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,No,No,21,1862.9
Yes,Month-to-month,1021,No,Yes,Male,DSL,39.65,No phone service,No,No,Yes,No,Electronic check,No,1,Yes,No,No,1,39.65
No,One year,1022,No,No internet service,Male,No,19.8,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,12,202.25
Yes,Month-to-month,1023,No,No internet service,Male,No,20.15,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,20.15
No,Two year,1024,No,No,Female,DSL,59.9,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,58,3505.1
No,Month-to-month,1025,Yes,No,Male,DSL,59.6,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,No,No,Yes,49,2970.3
No,Month-to-month,1026,No,No,Female,DSL,55.3,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,30,1530.6
Yes,Month-to-month,1027,Yes,No,Male,Fiber optic,99.35,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,47,4749.15
Yes,Month-to-month,1028,Yes,No,Male,DSL,30.2,No phone service,Yes,No,No,Yes,Electronic check,No,0,No,No,No,1,30.2
No,Two year,1029,No,Yes,Male,DSL,90.25,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,6369.45
Yes,Month-to-month,1030,Yes,No,Female,DSL,64.7,No,No,No,Yes,No,Mailed check,Yes,0,Yes,Yes,No,17,1093.1
No,Two year,1031,No,Yes,Female,Fiber optic,96.35,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,1,No,No,Yes,71,6766.95
No,Month-to-month,1032,No,Yes,Male,Fiber optic,95.5,No,No,No,Yes,Yes,Credit card (automatic),Yes,1,Yes,Yes,No,2,181.65
No,One year,1033,Yes,Yes,Female,DSL,66.15,No,Yes,Yes,No,Yes,Mailed check,Yes,0,No,No,Yes,27,1874.45
No,Month-to-month,1034,No,No internet service,Male,No,20.2,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,1,20.2
No,Month-to-month,1035,No,No,Male,DSL,45.25,No,No,No,No,No,Bank transfer (automatic),Yes,1,No,No,No,1,45.25
No,Two year,1036,Yes,No,Female,Fiber optic,99.9,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,Yes,Yes,72,7251.7
Yes,Month-to-month,1037,No,No,Male,Fiber optic,69.7,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,5,316.9
No,Month-to-month,1038,No,Yes,Female,Fiber optic,74.8,No,No,No,Yes,No,Credit card (automatic),Yes,0,No,No,No,46,3548.3
Yes,Month-to-month,1039,No,Yes,Male,Fiber optic,106.35,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,34,3549.25
Yes,Month-to-month,1040,No,Yes,Female,Fiber optic,97.85,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,11,1105.4
No,One year,1041,Yes,No,Male,DSL,49.55,No,Yes,No,No,Yes,Mailed check,Yes,0,No,No,No,10,475.7
No,Two year,1042,Yes,No,Female,DSL,69.2,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,No,70,4872.35
No,One year,1043,Yes,No internet service,Female,No,20.75,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,17,418.25
No,Two year,1044,No,Yes,Female,DSL,79.85,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,No,Yes,Yes,63,4861.45
No,Month-to-month,1045,No,No,Female,DSL,76.2,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No,Yes,Yes,13,981.45
No,Month-to-month,1046,No,No,Female,Fiber optic,84.5,Yes,No,No,Yes,No,Electronic check,Yes,0,Yes,No,No,49,3906.7
No,Month-to-month,1047,No,No,Male,DSL,49.25,No,Yes,No,No,No,Mailed check,Yes,0,No,No,No,2,97
Yes,Month-to-month,1048,No,No,Female,Fiber optic,80.65,No,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,2,144.15
No,Two year,1049,No,No,Male,DSL,79.75,Yes,No,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,52,4217.8
No,Two year,1050,Yes,Yes,Female,DSL,64.15,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,69,4254.1
No,Month-to-month,1051,No,No,Female,Fiber optic,90.25,Yes,Yes,No,Yes,No,Electronic check,Yes,1,No,Yes,No,43,3838.75
Yes,Month-to-month,1052,No,No,Female,Fiber optic,99.1,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,No,15,1426.4
No,Month-to-month,1053,No,No,Female,DSL,69.5,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,1,No,Yes,Yes,25,1752.65
Yes,Month-to-month,1054,No,No,Female,Fiber optic,80.65,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,1,No,No,No,8,633.3
No,One year,1055,Yes,Yes,Female,DSL,74.85,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,1,Yes,No,Yes,60,4456.35
Yes,Month-to-month,1056,No,No,Male,Fiber optic,95.45,Yes,No,No,Yes,No,Electronic check,Yes,1,Yes,Yes,No,18,1752.55
No,One year,1057,Yes,No,Female,Fiber optic,99.65,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,63,6311.2
No,One year,1058,Yes,Yes,Male,Fiber optic,108.45,Yes,Yes,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,Yes,66,7076.35
No,Two year,1059,Yes,No internet service,Female,No,24.95,Yes,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,34,894.3
No,Two year,1060,No,Yes,Female,Fiber optic,107.5,Yes,No,No,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,7853.7
No,Month-to-month,1061,No,Yes,Female,Fiber optic,100.5,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,47,4707.1
No,Month-to-month,1062,No,No,Male,Fiber optic,89.9,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,No,Yes,No,60,5450.7
No,Two year,1063,No,Yes,Male,DSL,42.1,No phone service,Yes,Yes,No,Yes,Bank transfer (automatic),No,0,No,No,No,72,2962
No,One year,1064,Yes,Yes,Female,DSL,54.4,No,No,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,18,957.1
Yes,Month-to-month,1065,No,No,Female,Fiber optic,94.4,Yes,No,No,No,No,Electronic check,Yes,0,Yes,Yes,No,9,857.25
No,Month-to-month,1066,No,No,Female,DSL,75.3,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,Yes,3,244.1
No,One year,1067,No,No,Male,Fiber optic,78.9,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,No,No,No,47,3650.35
No,Two year,1068,No,Yes,Female,DSL,79.2,No,Yes,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,31,2497.2
No,Two year,1069,Yes,No internet service,Female,No,20.15,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,50,930.9
No,Month-to-month,1070,No,Yes,Male,Fiber optic,79.85,No,No,Yes,Yes,No,Mailed check,Yes,0,No,No,No,10,887.35
No,Month-to-month,1071,No,No,Male,DSL,49.05,No,No,No,No,No,Mailed check,Yes,0,No,No,Yes,1,49.05
No,One year,1072,Yes,No internet service,Female,No,20.4,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,52,1090.65
No,Two year,1073,Yes,Yes,Male,Fiber optic,111.6,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,64,7099
No,Two year,1074,Yes,No internet service,Male,No,24.25,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,62,1424.6
No,Month-to-month,1075,Yes,No,Female,DSL,64.5,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,3,177.4
No,One year,1076,No,Yes,Female,Fiber optic,110.5,Yes,Yes,Yes,No,No,Electronic check,Yes,1,Yes,Yes,No,56,6139.5
No,One year,1077,No,No,Female,DSL,55.65,No,No,No,No,No,Credit card (automatic),Yes,0,Yes,No,No,46,2688.85
No,Month-to-month,1078,Yes,No,Female,DSL,54.65,No,Yes,Yes,No,Yes,Mailed check,Yes,0,No,No,No,8,482.25
No,Month-to-month,1079,No,No,Male,DSL,74.75,No,Yes,Yes,Yes,No,Electronic check,Yes,1,Yes,Yes,No,30,2111.3
No,One year,1080,Yes,No internet service,Female,No,25.9,Yes,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,45,1216.6
Yes,Month-to-month,1081,Yes,No,Female,Fiber optic,79.35,No,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,1,79.35
No,Month-to-month,1082,Yes,No,Female,DSL,50.55,No phone service,No,Yes,No,Yes,Electronic check,No,0,Yes,Yes,No,11,565.35
Yes,Month-to-month,1083,No,Yes,Female,Fiber optic,75.15,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,No,No,No,7,496.9
No,Month-to-month,1084,No,Yes,Female,Fiber optic,103.8,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,42,4327.5
No,Two year,1085,No,No internet service,Female,No,20.15,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,49,973.35
No,Month-to-month,1086,No,No,Male,Fiber optic,99.3,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,No,9,918.75
No,One year,1087,No,No,Female,DSL,62.15,No,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,No,Yes,No,35,2215.45
No,Two year,1088,Yes,No internet service,Female,No,20.65,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,48,1057
No,Two year,1089,Yes,No internet service,Female,No,19.95,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,46,927.1
No,Month-to-month,1090,No,No,Male,DSL,33.75,No phone service,No,No,No,Yes,Mailed check,No,0,No,Yes,No,29,1009.25
No,Month-to-month,1091,Yes,Yes,Male,Fiber optic,82.05,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,0,No,No,No,30,2570.2
No,Month-to-month,1092,No,No,Male,Fiber optic,74.7,No,No,No,No,No,Electronic check,Yes,1,No,No,Yes,1,74.7
